,status,founded_at,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,category_code_advertising,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_AUS,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_USA,country_code_other,activedays
48,0,2005,2006.0,2008.0,2.0,12100000.0,2008.0,2008.0,1.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
49,1,2010,2012.0,2012.0,1.0,4561780.722452607,2012.0,2012.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4015
50,1,2009,2010.0,2010.0,1.0,4561780.722452607,2011.0,2011.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4380
51,1,2012,2013.0,2013.0,1.0,1700000.0,2012.0,2012.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3285
52,1,2008,2012.0,2012.0,1.0,50000.0,2008.0,2011.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
53,3,2007,2009.0,2009.0,2.0,4000000.0,2009.0,2009.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,1,2009,2013.0,2013.0,1.0,8700000.0,2012.0,2013.0,2.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4380
55,1,2008,2009.0,2011.0,3.0,11510000.0,2010.0,2012.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4745
56,3,2002,2005.0,2013.0,3.0,9650000.0,2010.0,2011.0,4.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,1,2003,2013.0,2013.0,1.0,4000000.0,2011.0,2011.0,1.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6570
58,1,2011,2011.0,2011.0,1.0,1200000.0,2013.0,2013.0,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
59,3,2008,2010.0,2010.0,2.0,3915000.0,2010.0,2011.0,2.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,2,1991,2011.0,2011.0,1.0,100000.0,2009.0,2013.0,2.0,66.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10950
61,3,2008,2007.0,2009.0,2.0,10600000.0,2008.0,2013.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,1,2001,2013.0,2013.0,1.0,7843200.0,2012.0,2013.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7300
63,0,2006,2007.0,2007.0,1.0,200000.0,2007.0,2007.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,1,2010,2013.0,2013.0,1.0,4000000.0,2010.0,2013.0,2.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4015
65,3,2005,2005.0,2006.0,2.0,3500000.0,2008.0,2013.0,4.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66,1,2009,2009.0,2013.0,3.0,11000000.0,2013.0,2013.0,3.0,22.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4380
67,1,2010,2012.0,2012.0,1.0,4000000.0,2011.0,2011.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4015
68,1,2007,2010.0,2010.0,1.0,500000.0,2007.0,2007.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5110
69,1,2011,2012.0,2012.0,1.0,48501.0,2012.0,2012.0,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3650
70,1,2004,2005.0,2008.0,2.0,22600000.0,2007.0,2007.0,1.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6205
71,3,2008,2006.0,2008.0,3.0,14000000.0,2007.0,2013.0,4.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
72,1,2011,2012.0,2012.0,2.0,100000.0,2011.0,2011.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3650
